한식,용달운송,부동산,옷가게,주점,미용실,슈퍼마켓,분식,세탁소,노래방,편의점,치킨집,카센터,과일채소가게,정육점,중국집,당구장,빵집,pc방,인구,면적,인구밀도,음료점,사업체수,총종사자수,총여성종사자수,운영평균,폐업평균,기간_2015,기간_2016,기간_2017,기간_2018,기간_2019
52,53,32,38,27,31,22,13,15,7,12,8,8,8,12,5,3,5,2,18028,0.5,36056,11,960,3779,1826,90.5,46.5,1,0,0,0,0
13,66,17,21,4,26,11,12,11,1,6,7,2,2,6,2,0,1,2,21102,0.52,40581,8,611,1892,1001,88.25,44.25,1,0,0,0,0
55,389,44,26,26,34,19,15,18,13,11,5,9,4,6,3,2,4,4,27881,0.88,31683,15,1361,3672,1897,88.0,43.5,1,0,0,0,0
60,155,45,41,31,52,24,13,22,7,15,14,10,7,11,5,4,4,8,31123,1.07,29087,7,1368,4278,1987,89.25,47.25,1,0,0,0,0
71,86,26,25,38,32,14,12,13,12,10,7,13,8,11,3,3,7,1,15821,0.67,23613,10,961,2027,1071,93.5,46.5,1,0,0,0,0
68,69,34,20,39,23,21,19,11,12,17,8,3,3,3,5,6,14,4,29838,0.96,31081,14,1293,7590,3767,93.75,44.0,1,0,0,0,0
89,158,45,32,31,44,17,18,11,16,11,12,12,3,9,9,6,8,4,27105,0.7,38721,26,2150,7136,3261,85.75,43.0,1,0,0,0,0
115,91,65,37,38,30,25,14,14,17,18,4,11,1,3,3,6,5,2,26582,0.84,31645,25,2242,10292,4277,93.5,49.75,1,0,0,0,0
86,131,40,24,34,40,27,15,16,12,12,9,25,11,13,6,3,5,5,29504,0.8,36880,10,2030,6140,2468,102.75,50.75,1,0,0,0,0
367,103,103,115,75,48,89,44,28,26,41,14,30,28,14,21,11,9,5,33210,1.61,20627,63,5795,32090,13794,103.0,44.0,1,0,0,0,0
