,기간,자치구행정동명,한식,용달운송,부동산,옷가게,주점,미용실,슈퍼마켓,분식,세탁소,노래방,편의점,치킨집,카센터,과일채소가게,정육점,중국집,당구장,빵집,pc방
567,2016,노원구 월계2동,17,159,17,6,6,24,15,10,13,2,9,10,1,2,8,3,0,5,0
568,2016,노원구 월계3동,35,166,35,41,3,25,14,11,13,1,7,11,2,3,7,2,0,7,1
569,2016,노원구 중계1동,29,57,36,16,6,28,14,28,16,5,10,8,6,1,7,2,0,11,3
570,2016,노원구 중계2.3동,52,133,23,226,14,36,24,20,11,2,7,11,1,2,7,10,0,13,1
571,2016,노원구 중계4동,110,75,22,36,35,27,14,20,7,24,8,16,5,3,5,5,9,11,6
572,2016,노원구 중계본동,55,78,34,18,28,35,15,19,15,7,12,14,7,2,6,8,4,5,5
573,2016,노원구 하계1동,75,63,22,93,20,24,17,12,12,3,14,10,15,1,5,6,2,6,1
574,2016,노원구 하계2동,15,66,15,0,1,16,9,6,7,0,1,5,0,1,2,0,0,1,2
575,2016,도봉구 도봉1동,206,107,44,22,53,44,30,17,13,26,22,10,12,7,13,8,10,3,4
576,2016,도봉구 도봉2동,85,120,37,18,44,37,16,9,14,8,9,6,11,6,7,7,2,9,2
577,2016,도봉구 방학1동,214,118,75,89,98,73,33,34,23,44,23,22,18,9,10,13,20,14,15
578,2016,도봉구 방학2동,71,95,22,32,23,57,22,16,13,10,11,8,8,21,11,7,5,6,1
579,2016,도봉구 방학3동,40,114,21,8,7,20,14,9,14,5,7,10,7,2,4,1,4,4,0
580,2016,도봉구 쌍문1동,31,91,17,7,15,33,22,22,12,3,12,8,3,5,9,5,4,5,3
581,2016,도봉구 쌍문2동,69,100,28,38,28,52,20,22,16,16,12,14,8,5,7,5,7,7,7
582,2016,도봉구 쌍문3동,53,52,39,34,23,30,22,10,13,7,12,8,10,11,12,5,2,4,2
583,2016,도봉구 쌍문4동,13,69,17,22,3,28,12,15,11,1,9,5,1,2,4,2,0,1,3
584,2016,도봉구 창1동,56,434,47,28,26,35,20,16,16,11,10,4,9,3,5,4,5,6,4
585,2016,도봉구 창2동,70,152,45,45,28,53,23,10,22,7,17,19,10,8,12,7,5,5,6
586,2016,도봉구 창3동,69,89,28,22,38,32,15,12,13,12,10,9,11,9,12,3,4,7,1
587,2016,도봉구 창4동,68,65,37,22,34,24,18,19,11,15,14,11,3,4,4,5,6,12,3
588,2016,도봉구 창5동,85,96,45,28,33,44,13,17,15,19,14,13,10,3,9,8,7,10,6
589,2016,동대문구 답십리1동,108,97,70,39,39,30,20,15,14,17,19,7,10,1,4,4,8,4,2
590,2016,동대문구 답십리2동,81,142,42,22,29,39,27,17,16,13,13,6,26,10,13,6,3,4,6
591,2016,동대문구 용신동,354,108,110,97,74,47,83,49,30,26,48,18,28,29,17,22,13,10,5
592,2016,동대문구 이문1동,132,86,56,24,78,57,30,50,27,16,28,21,8,10,7,20,7,13,13
593,2016,동대문구 이문2동,30,81,32,7,23,18,13,6,12,6,15,7,3,3,6,3,1,3,1
594,2016,동대문구 장안1동,263,188,101,63,80,77,40,35,39,30,41,21,102,9,19,16,17,11,8
595,2016,동대문구 장안2동,218,164,64,157,76,78,49,47,26,29,28,21,22,6,20,14,17,16,8
596,2016,동대문구 전농1동,156,116,59,224,52,62,33,38,18,21,23,16,17,11,16,7,8,15,6
597,2016,동대문구 전농2동,25,77,18,15,18,31,14,23,13,8,13,6,3,1,1,8,4,5,2
598,2016,동대문구 제기동,235,91,64,33,114,41,99,37,20,6,21,11,26,526,67,15,3,8,3
