매장명,매장주소
본 죽&비빔밥 구월아시아드점,"인천광역시 남동구 인하로 616 (구월동, 커뮤니티프라자) 1층 111호"
본 죽&비빔밥 인천논현점,"인천광역시 남동구 논고개로 117 (논현동, 메트로타워) 101호"
본 죽&비빔밥 인천용현2동점,인천광역시 미추홀구 낙섬중로 98 (용현동)
본 죽&비빔밥 인천주안점,"인천광역시 미추홀구 미추홀대로 716 (주안동, 메인프라자) 104호"
본 죽&비빔밥 인천연희연세병원점,인천광역시 서구 서곶로369번길 22 (연희동) 104호
본 죽&비빔밥 영종운서넙디점,인천광역시 중구 영종대로327번길 4 (운서동) 1층
본 죽&비빔밥 인천신기점,인천광역시 미추홀구 인하로 255 (주안동)
본 죽&비빔밥 송도신도시점,인천광역시 연수구 컨벤시아대로 69 송도밀레니엄 1층 136호
본 죽&비빔밥 인천청라신도시점,인천광역시 서구 푸른로8번안길 6 (경서동)
본 죽&비빔밥 인천부평점,인천광역시 부평구 부평문화로 51 1층
본 죽&비빔밥 인천연수점,인천광역시 연수구 먼우금로 194 (연수동) 두손메카 106호
본 죽&비빔밥 인천송도포스코점,인천광역시 연수구 해돋이로 116 (송도동) 센트럴프라자 103호
본 죽&비빔밥 인천청라엑슬루타워점,인천광역시 서구 중봉대로586번길 22 엑슬루타워 B동 107호
본 죽&비빔밥 인천신포동점,인천광역시 중구 신포로 18-1 (신생동)
본 죽&비빔밥 인천송도웰카운티점,"인천광역시 연수구 인천타워대로54번길 9 (송도동) 29,21번지"
본 죽&비빔밥 인천검암점,인천광역시 서구 승학로 577 (검암동) 장은프라자 110호
본 죽&비빔밥 광주금남로점,광주광역시 동구 독립로 258 (금남로5가) 1층
본 죽&비빔밥 광주돌고개역점,"광주광역시 남구 구성로8번길 6 (월산동, 반도유보라 더 퍼스트) B동 204호"
본 죽&비빔밥 광주월곡점,광주광역시 광산구 사암로340번안길 20 (월곡동) 1층
본 죽&비빔밥 광주금호점,광주광역시 서구 금화로 91 (금호동) 1층
본 죽&비빔밥 광주두암말바우점,광주광역시 북구 동문대로 128 (두암동) 101호
본 죽&비빔밥 광주백운대성초교점,광주 남구 중앙로 80 (서동) 101호
본 죽&비빔밥 광주백운고가점,"광주 남구 회재로 1257 (주월동, 예림장식) 1층"
본 죽&비빔밥 광주연제점,광주 북구 양일로 58 (연제동) 신아빌딩 104호
본 죽&비빔밥 광주봉선점,"광주 남구 봉선로 164 (봉선동, 삼환빌딩) 1층"
본 죽&비빔밥 광주문흥점,광주광역시 북구 서하로 375 (문흥동) 1층
본 죽&비빔밥 광주상무점,"광주광역시 서구 치평로 80 (치평동, 골든타운) 111호"
본 죽&비빔밥 광주효천1지구점,광주광역시 남구 효천2로가길 9 (임암동)
본 죽&비빔밥 광주양산점,광주광역시 북구 양산로 2 (양산동) 1층
본 죽&비빔밥 광주운남점,광주광역시 광산구 하남대로 278-1 (운남동)
본 죽&비빔밥 광주충장로점,광주광역시 동구 충장로 77-5 (충장로3가)
본 죽&비빔밥 광주일곡점,광주광역시 북구 설죽로 505-9 (일곡동) 1층 도로시헤어
본 죽&비빔밥 광주두암점,광주광역시 동구 밤실로 154 (산수동)
본 죽&비빔밥 광주첨단점,광주광역시 광산구 첨단중앙로170번길 64 (쌍암동)
본 죽&비빔밥 광주첨단월계점,광주광역시 광산구 월계로 187 (월계동)
본 죽&비빔밥 광주하남점,"광주광역시 광산구 풍영철길로 15 (우산동, 콜럼버스월드) 2층 213-2호"
본 죽&비빔밥 광주풍암점,광주광역시 서구 풍암1로21번길 3-24 (풍암동)
본 죽&비빔밥 광주학동점,광주광역시 동구 제봉로 33 1층(학동)
본 죽&비빔밥 광주주월점,광주광역시 남구 대남대로 139 (주월동) 1층
본 죽&비빔밥 광주노대점,광주광역시 남구 효우로 79-1 스카이빌딩 102
본 죽&비빔밥 광주수완점,광주광역시 광산구 임방울대로 335 102호
본 죽&비빔밥 대전관저더샵점,대전광역시 서구 관저로 24 (관저동) 1층
본 죽&비빔밥 대전송강점,대전광역시 유성구 구즉로 62 (송강동) 1층
본 죽&비빔밥 대전유성장대동점,대전광역시 유성구 문화원로 1 (장대동) 1층
본 죽&비빔밥 대전학하점,대전광역시 유성구 학하중앙로59번길 5-13 (덕명동) 1층
본 죽&비빔밥 대전가오동점,"대전광역시 동구 은어송로 56 (가오동, 1) 101호"
본 죽&비빔밥 대전노은3지구점,대전광역시 유성구 지족동로 152 (지족동) 코오롱타워 103호
